scope,scope_value,pair,n,pearson_r,pearson_p,spearman_r,spearman_p
regime,fixed_stage_iterative,reward_vs_task_normalized_hidden_test_metric,8,-0.64521,0.08405,-0.4551,0.25719
regime,fixed_stage_iterative,reward_growth_vs_val_improvement,8,-0.58635,0.12659,-0.48198,0.22649
regime,fixed_stage_iterative,perf_contribution_alone_vs_metric__definitional,8,-0.45478,0.25757,-0.23521,0.57498
regime,fixed_stage_iterative,perf_contribution_alone_vs_task_normalized_metric__definitional,8,0.09432,0.82419,0.26657,0.52335
regime,fixed_stage_iterative,plan_plus_code_alone_vs_metric,8,0.46577,0.24477,0.23953,0.56777
regime,fixed_stage_iterative,plan_plus_code_alone_vs_task_normalized_metric,8,-0.25852,0.53645,-0.26348,0.52837
regime,fixed_stage_iterative,reward_minus_perf_vs_metric,8,-0.22589,0.59064,-0.503,0.20388
regime,fixed_stage_iterative,reward_minus_perf_vs_task_normalized_metric,8,-0.65241,0.07952,-0.4551,0.25719
regime,fixed_without_eda,reward_vs_hidden_test_metric,8,0.08808,0.83571,-0.11905,0.77889
regime,fixed_without_eda,reward_vs_task_normalized_hidden_test_metric,8,-0.2185,0.60316,-0.21429,0.61034
regime,fixed_without_eda,reward_growth_vs_val_improvement,8,-0.40984,0.31327,-0.26837,0.52044
regime,fixed_without_eda,perf_contribution_alone_vs_metric__definitional,8,-0.55792,0.15071,-0.2338,0.57733
regime,fixed_without_eda,perf_contribution_alone_vs_task_normalized_metric__definitional,8,0.33651,0.41505,0.26498,0.52593
regime,fixed_without_eda,plan_plus_code_alone_vs_metric,8,0.86535,0.0055,0.66667,0.07099
regime,fixed_without_eda,plan_plus_code_alone_vs_task_normalized_metric,8,0.08658,0.83847,0.11905,0.77889
regime,fixed_without_eda,reward_minus_perf_vs_metric,8,0.12008,0.777,-0.11905,0.77889
regime,fixed_without_eda,reward_minus_perf_vs_task_normalized_metric,8,-0.24011,0.56679,-0.21429,0.61034
regime,fixed_without_feature_engineering,reward_vs_hidden_test_metric,8,-0.95635,0.0002,-0.61079,0.10772
regime,fixed_without_feature_engineering,reward_vs_task_normalized_hidden_test_metric,8,-0.24674,0.5558,-0.08383,0.84355
regime,fixed_without_feature_engineering,reward_growth_vs_val_improvement,8,0.49018,0.21752,0.4693,0.24073
regime,fixed_without_feature_engineering,perf_contribution_alone_vs_metric__definitional,8,-0.41626,0.30498,-0.23521,0.57498
regime,fixed_without_feature_engineering,perf_contribution_alone_vs_task_normalized_metric__definitional,8,0.28708,0.49057,0.26657,0.52335
regime,fixed_without_feature_engineering,plan_plus_code_alone_vs_metric,8,0.61354,0.1057,0.63474,0.09089
regime,fixed_without_feature_engineering,plan_plus_code_alone_vs_task_normalized_metric,8,0.83095,0.0106,0.63474,0.09089
regime,fixed_without_feature_engineering,reward_minus_perf_vs_metric,8,-0.94632,0.00037,-0.63474,0.09089
regime,fixed_without_feature_engineering,reward_minus_perf_vs_task_normalized_metric,8,-0.30056,0.46947,-0.15569,0.71276
regime,fixed_without_plan,reward_vs_hidden_test_metric,7,-0.03251,0.94483,0.03571,0.93941
regime,fixed_without_plan,reward_vs_task_normalized_hidden_test_metric,7,0.79002,0.03453,0.71429,0.07134
regime,fixed_without_plan,reward_growth_vs_val_improvement,8,0.05313,0.90056,0.12199,0.77353
regime,fixed_without_plan,perf_contribution_alone_vs_metric__definitional,7,-0.52563,0.22564,-0.13363,0.77516
regime,fixed_without_plan,perf_contribution_alone_vs_task_normalized_metric__definitional,7,0.2625,0.56956,0.48998,0.26433
regime,fixed_without_plan,plan_plus_code_alone_vs_metric,7,0.6421,0.11997,0.42857,0.33737
regime,fixed_without_plan,plan_plus_code_alone_vs_task_normalized_metric,7,0.44068,0.32235,0.17857,0.70166
regime,fixed_without_plan,reward_minus_perf_vs_metric,7,-0.01983,0.96635,-0.07143,0.87905
regime,fixed_without_plan,reward_minus_perf_vs_task_normalized_metric,7,0.78696,0.03574,0.57143,0.1802
regime,flexible_compact_feedback,reward_vs_hidden_test_metric,8,-0.87287,0.00466,-0.61905,0.10173
regime,flexible_compact_feedback,reward_vs_task_normalized_hidden_test_metric,8,0.01454,0.97273,0.07143,0.86653
regime,flexible_compact_feedback,reward_growth_vs_val_improvement,8,0.81969,0.01274,0.84981,0.00754
regime,flexible_compact_feedback,perf_contribution_alone_vs_metric__definitional,8,-0.48114,0.22742,-0.2338,0.57733
regime,flexible_compact_feedback,perf_contribution_alone_vs_task_normalized_metric__definitional,8,0.30096,0.46885,0.26498,0.52593
regime,flexible_compact_feedback,plan_plus_code_alone_vs_metric,8,0.77384,0.02424,0.83333,0.01018
regime,flexible_compact_feedback,plan_plus_code_alone_vs_task_normalized_metric,8,0.60464,0.11231,0.47619,0.23294
regime,flexible_compact_feedback,reward_minus_perf_vs_metric,8,-0.87484,0.00445,-0.66667,0.07099
regime,flexible_compact_feedback,reward_minus_perf_vs_task_normalized_metric,8,-0.01694,0.96825,0.0,1.0
regime,flexible_iterative,reward_vs_hidden_test_metric,8,-0.6865,0.06005,-0.7545,0.03051
regime,flexible_iterative,reward_vs_task_normalized_hidden_test_metric,8,-0.25808,0.53716,-0.27545,0.50905
regime,flexible_iterative,reward_growth_vs_val_improvement,8,0.45722,0.2547,0.29277,0.48162
regime,flexible_iterative,perf_contribution_alone_vs_metric__definitional,8,-0.5486,0.15913,-0.43906,0.27645
regime,flexible_iterative,perf_contribution_alone_vs_task_normalized_metric__definitional,8,0.25859,0.53633,0.21953,0.60142
regime,flexible_iterative,plan_plus_code_alone_vs_metric,8,0.54366,0.16368,0.40719,0.31671
regime,flexible_iterative,plan_plus_code_alone_vs_task_normalized_metric,8,-0.23713,0.57177,0.07186,0.86573
regime,flexible_iterative,reward_minus_perf_vs_metric,8,-0.64358,0.0851,-0.71858,0.04462
regime,flexible_iterative,reward_minus_perf_vs_task_normalized_metric,8,-0.2933,0.48078,-0.38324,0.34868
regime,flexible_without_eda,reward_vs_hidden_test_metric,6,-0.81759,0.04688,-0.77143,0.0724
regime,flexible_without_eda,reward_vs_task_normalized_hidden_test_metric,6,-0.22577,0.6671,-0.02857,0.95715
regime,flexible_without_eda,reward_growth_vs_val_improvement,8,0.58705,0.12603,0.36596,0.37262
regime,flexible_without_eda,perf_contribution_alone_vs_metric__definitional,6,-0.59304,0.21473,-0.37187,0.46791
regime,flexible_without_eda,perf_contribution_alone_vs_task_normalized_metric__definitional,6,0.03821,0.94272,0.43948,0.38322
regime,flexible_without_eda,plan_plus_code_alone_vs_metric,6,-0.25871,0.6206,-0.37143,0.46848
regime,flexible_without_eda,plan_plus_code_alone_vs_task_normalized_metric,6,-0.55692,0.25098,-0.31429,0.54409
regime,flexible_without_eda,reward_minus_perf_vs_metric,6,-0.8174,0.04697,-0.77143,0.0724
regime,flexible_without_eda,reward_minus_perf_vs_task_normalized_metric,6,-0.22815,0.66371,-0.02857,0.95715
regime,flexible_without_feature_engineering,reward_vs_hidden_test_metric,8,-0.91076,0.00166,-0.79043,0.01954
regime,flexible_without_feature_engineering,reward_vs_task_normalized_hidden_test_metric,8,0.03504,0.93435,0.09581,0.82145
regime,flexible_without_feature_engineering,reward_growth_vs_val_improvement,8,0.45303,0.25964,0.2455,0.55786
regime,flexible_without_feature_engineering,perf_contribution_alone_vs_metric__definitional,8,-0.3968,0.33041,-0.43644,0.27966
regime,flexible_without_feature_engineering,perf_contribution_alone_vs_task_normalized_metric__definitional,8,0.5789,0.13269,0.49099,0.21665
regime,flexible_without_feature_engineering,plan_plus_code_alone_vs_metric,8,-0.43012,0.28747,-0.67067,0.06869
regime,flexible_without_feature_engineering,plan_plus_code_alone_vs_task_normalized_metric,8,-0.32211,0.43653,-0.33534,0.41679
regime,flexible_without_feature_engineering,reward_minus_perf_vs_metric,8,-0.94449,0.00041,-0.79043,0.01954
regime,flexible_without_feature_engineering,reward_minus_perf_vs_task_normalized_metric,8,-0.10569,0.8033,0.09581,0.82145
regime,n_restarts_call_matched_upper_bound,reward_vs_hidden_test_metric,8,-0.87268,0.00468,-0.63474,0.09089
regime,n_restarts_call_matched_upper_bound,reward_vs_task_normalized_hidden_test_metric,8,0.11504,0.7862,0.0,1.0
regime,n_restarts_call_matched_upper_bound,reward_growth_vs_val_improvement,8,-0.65625,0.07717,-0.64286,0.08556
regime,n_restarts_call_matched_upper_bound,perf_contribution_alone_vs_metric__definitional,8,-0.41221,0.31019,-0.2338,0.57733
regime,n_restarts_call_matched_upper_bound,perf_contribution_alone_vs_task_normalized_metric__definitional,8,0.36466,0.37445,0.26498,0.52593
regime,n_restarts_call_matched_upper_bound,plan_plus_code_alone_vs_metric,8,-0.65715,0.07662,-0.39522,0.33252
regime,n_restarts_call_matched_upper_bound,plan_plus_code_alone_vs_task_normalized_metric,8,0.01259,0.97639,0.0,1.0
regime,n_restarts_call_matched_upper_bound,reward_minus_perf_vs_metric,8,-0.87545,0.00439,-0.7545,0.03051
regime,n_restarts_call_matched_upper_bound,reward_minus_perf_vs_task_normalized_metric,8,0.07889,0.8527,-0.21557,0.60815
regime,n_restarts_from_scratch,reward_vs_hidden_test_metric,8,-0.65747,0.07643,-0.30952,0.45564
regime,n_restarts_from_scratch,reward_vs_task_normalized_hidden_test_metric,8,0.51571,0.19081,0.38095,0.35181
regime,n_restarts_from_scratch,reward_growth_vs_val_improvement,8,-0.33032,0.42422,-0.3927,0.33588
regime,n_restarts_from_scratch,perf_contribution_alone_vs_metric__definitional,8,-0.56079,0.14817,-0.2338,0.57733
regime,n_restarts_from_scratch,perf_contribution_alone_vs_task_normalized_metric__definitional,8,0.3817,0.35079,0.26498,0.52593
regime,n_restarts_from_scratch,plan_plus_code_alone_vs_metric,8,0.63209,0.09268,0.61905,0.10173
regime,n_restarts_from_scratch,plan_plus_code_alone_vs_task_normalized_metric,8,0.61445,0.10505,0.54762,0.16003
regime,n_restarts_from_scratch,reward_minus_perf_vs_metric,8,-0.64107,0.08672,-0.30952,0.45564
regime,n_restarts_from_scratch,reward_minus_perf_vs_task_normalized_metric,8,0.51393,0.19261,0.38095,0.35181
regime,red_team_vs_validators,reward_vs_hidden_test_metric,8,-0.61697,0.10322,-0.40476,0.31989
regime,red_team_vs_validators,reward_vs_task_normalized_hidden_test_metric,8,0.33106,0.42312,0.2381,0.57016
regime,red_team_vs_validators,reward_growth_vs_val_improvement,8,0.36175,0.37856,0.40526,0.31923
regime,red_team_vs_validators,perf_contribution_alone_vs_metric__definitional,8,-0.57133,0.13905,-0.2338,0.57733
regime,red_team_vs_validators,perf_contribution_alone_vs_task_normalized_metric__definitional,8,0.01507,0.97175,0.26498,0.52593
regime,red_team_vs_validators,plan_plus_code_alone_vs_metric,8,0.65204,0.07975,0.40476,0.31989
regime,red_team_vs_validators,plan_plus_code_alone_vs_task_normalized_metric,8,0.31256,0.45099,0.09524,0.82251
regime,red_team_vs_validators,reward_minus_perf_vs_metric,8,-0.61488,0.10473,-0.40476,0.31989
regime,red_team_vs_validators,reward_minus_perf_vs_task_normalized_metric,8,0.33145,0.42255,0.2381,0.57016
regime,reward_maximizer_disclosed_criteria,reward_vs_hidden_test_metric,8,-0.73114,0.03931,-0.63474,0.09089
regime,reward_maximizer_disclosed_criteria,reward_vs_task_normalized_hidden_test_metric,8,-0.16822,0.69049,-0.2036,0.62867
regime,reward_maximizer_disclosed_criteria,reward_growth_vs_val_improvement,8,0.44686,0.267,0.43644,0.27966
regime,reward_maximizer_disclosed_criteria,perf_contribution_alone_vs_metric__definitional,8,-0.57021,0.14,-0.23521,0.57498
regime,reward_maximizer_disclosed_criteria,perf_contribution_alone_vs_task_normalized_metric__definitional,8,-0.06746,0.87389,0.26657,0.52335
regime,reward_maximizer_disclosed_criteria,plan_plus_code_alone_vs_metric,8,0.69443,0.05598,0.82636,0.01144
regime,reward_maximizer_disclosed_criteria,plan_plus_code_alone_vs_task_normalized_metric,8,0.82517,0.01167,0.53893,0.16812
regime,reward_maximizer_disclosed_criteria,reward_minus_perf_vs_metric,8,-0.72284,0.04277,-0.63474,0.09089
regime,reward_maximizer_disclosed_criteria,reward_minus_perf_vs_task_normalized_metric,8,-0.16784,0.69116,-0.2036,0.62867
regime,reward_maximizer_hidden_hints,reward_vs_hidden_test_metric,8,-0.12631,0.76568,-0.37126,0.3652
regime,reward_maximizer_hidden_hints,reward_vs_task_normalized_hidden_test_metric,8,0.25023,0.55003,-0.13174,0.75583
regime,reward_maximizer_hidden_hints,reward_growth_vs_val_improvement,8,0.37134,0.3651,0.32733,0.42869
regime,reward_maximizer_hidden_hints,perf_contribution_alone_vs_metric__definitional,8,-0.37317,0.36255,-0.08297,0.84514
regime,reward_maximizer_hidden_hints,perf_contribution_alone_vs_task_normalized_metric__definitional,8,0.04221,0.92096,0.24892,0.55219
regime,reward_maximizer_hidden_hints,plan_plus_code_alone_vs_metric,8,0.57178,0.13866,0.38324,0.34868
regime,reward_maximizer_hidden_hints,plan_plus_code_alone_vs_task_normalized_metric,8,0.2877,0.48959,0.04791,0.91032
regime,reward_maximizer_hidden_hints,reward_minus_perf_vs_metric,8,-0.12134,0.7747,-0.44312,0.2715
regime,reward_maximizer_hidden_hints,reward_minus_perf_vs_task_normalized_metric,8,0.24981,0.55072,-0.2515,0.54794
regime,single_shot,reward_vs_hidden_test_metric,8,-0.95644,0.0002,-0.68903,0.05873
regime,single_shot,reward_vs_task_normalized_hidden_test_metric,8,-0.49957,0.20748,-0.17864,0.67211
regime,single_shot,reward_growth_vs_val_improvement,0,,,,
regime,single_shot,perf_contribution_alone_vs_metric__definitional,8,-0.5558,0.1526,-0.23521,0.57498
regime,single_shot,perf_contribution_alone_vs_task_normalized_metric__definitional,8,-0.16998,0.68738,0.26657,0.52335
regime,single_shot,plan_plus_code_alone_vs_metric,8,-0.90045,0.00229,-0.76559,0.02681
regime,single_shot,plan_plus_code_alone_vs_task_normalized_metric,8,-0.49847,0.20865,-0.35728,0.38493
regime,single_shot,reward_minus_perf_vs_metric,8,-0.95976,0.00016,-0.76559,0.02681
regime,single_shot,reward_minus_perf_vs_task_normalized_metric,8,-0.50421,0.20261,-0.35728,0.38493
regime,unstructured_agent,reward_vs_hidden_test_metric,5,-0.4731,0.42093,-0.3,0.62384
regime,unstructured_agent,reward_vs_task_normalized_hidden_test_metric,5,-0.35525,0.55739,0.0,1.0
regime,unstructured_agent,reward_growth_vs_val_improvement,8,-0.00697,0.98694,0.27545,0.50905
regime,unstructured_agent,perf_contribution_alone_vs_metric__definitional,5,-0.60795,0.27669,-0.35355,0.5594
regime,unstructured_agent,perf_contribution_alone_vs_task_normalized_metric__definitional,5,-0.04674,0.94051,0.0,1.0
regime,unstructured_agent,plan_plus_code_alone_vs_metric,5,0.32323,0.59574,0.0,1.0
regime,unstructured_agent,plan_plus_code_alone_vs_task_normalized_metric,5,0.06004,0.9236,-0.3,0.62384
regime,unstructured_agent,reward_minus_perf_vs_metric,5,-0.46181,0.43363,-0.3,0.62384
regime,unstructured_agent,reward_minus_perf_vs_task_normalized_metric,5,-0.35695,0.55537,0.0,1.0
